at the zoo rn,y
rt check out nyc s unique subway photography of the new vazee,y
rt a brewery in denmark is selling beer made out of piss,y
anyone going from the west coast to the east coast for the holidays,y
haha im the statue of liberty,y
rt trying the local food,y
rt lake louise in banff national park alberta,y
rt early leaderboard bathed in red at erin hills east,y
when the sun does shine from time to time marine lake is an awfully fine place to spend a day theopen,y
Merced River,y
Sunset Milena,y
Struck by the ones again Great vibes,y
On our way to the,y
Road bathroom,y
I think my life changed that day Paul and the park where my teachers I love parks Miss my Simon Bolivar,y
It was a very beautiful rainy day in the park Me sent bendecida de poder vivir esa experiencia,y
Paul Vasquez knows the park like the palm of his hand The Best Guide,y
Second Tunnel,y
Cold and beautiful day,y
The Tunnel It was a great day,y
Back with my friend Its nice to be back Love LA but I needed to organize my work,y
Art installation for,y
SMOKY GARDENS 2014,y
NEXT ART EXHIBIT IN MIAMI CRISTINA CHACON GALLERY,y
IT S ALL ABOUT PAINTING,y
Epic trip at Sequoia National Park with,y
Following our own paths,y
Hanging out in la for a few days Message me if you out here,y
In the streets of,y
I wanna see ya,y
Need to travel,y
Road trip anyone,y
10 days in Hawaii,y
Made it to NYC,y
Skating through Atlanta,y
Days under the palms,y
Rode my first BULL today stayed on for a good 7 seconds,y
Go tell your friends about it,n
House in the hills,y
Wishing I could be out here forever,y
I like to fly,y
beautiful,n
come hike the cliffs with me and tomorrow morning,y
2 more day till im on the west coast,y
On top of the city,y
Somewhere shady with my hair braided yeah,y
Hawaii Soon,y
I wish I lived by the ocean,y
I wish I could travel for free,y
A road trip sounds heavenly,y
A seesaw jet stream brings winter back to the East before a big western storm pushes milder Pacific air our way fo…,y
Beautiful sunset reflected by middle and high clouds ahead of a clipper system that will bring a brief return of wi…,y
The OSU Thompson Library forestry exhibit highlights the state s early lead in this field starting in 1882,y
Check out these gorgeous mammals and the great rehab program at the Columbus Zoo and Aquarium,y
I enjoyed our visit to with Dave Mazza amp students,y
Cold sunrise over the Scioto River Beautiful but frigid single digits morning,y
First of two bald eagles hatching in Ft Myers FL,y
Resica Falls PA historic Scout Reservation on a recent family visit to the Poconos,y
Hoarfrost below Kittatinny Mountain PA a crystalline deposition of water vapor on the landscape Photo Mike Pon…,y
Emerald Station Hubbard OH historic railroad scenery,y
Ice fog this morning near Pataskala Licking County in a low spot near 0 deg Credit Amy Pausch,y
I saw the historical photos and it was so scenic and bucolic Still a very pretty spot only a few miles from where I grew up,y
Autumn beauty in the Poconos near where I grew up overlooking Blue Mountain Lake a former summer camp dating back…,y
Peak fall colors during the next week or so even as leaves continue to carpet our lawns Late warmth diminished the…,y
Scioto Grove Metro Park near Grove city the newest of 19 in the system has 7 miles of hiking trails canoe access,y
Cindy Wallace shared a beautiful fall photo from Coshocton at a farm pond where the color change is underway,y
Wonderful visit seeing my Josh in northern CA astride a giant redwood near the coast Trees grow to 200,y
Fascinating Plitvice National Park Croatia Photo by Senna Relax,y
Winter approaching Moraine Lake Banff National Park Photo by Dani Lefrancois,y
Glacier National Park Montana Photo by,y
Sunrise Reflected in a Bubble Norway,y
Japan every bit serene majestic amp wondrous Photo by Benjamin Everett on IG,y
Winter walks at Oak Openings Preserve Metropark Photo by Eric Ward on IG,y
Calla Lilly Valley Yosemite National Park,y
Colorful architecture in Greece,y
Snow capped peaks in Fjordland national park in Queenstown New Zealand Photo by Bryan Daugherty,y
Getting to know the locals in Chile Photo by Konsta Punkka,y
Oman Muscat Cityscape of Mutrah old town at sunset,y
Tasman Glacier NZ under the Milky Way by south of home via reddit,y
Tranquility in the woods Almora India Photograph by Mayank Pant,y
obsessed with the sound of the ocean,y
Cyrus Khamak has captured a portrait of this iguana as the bright orange sun was setting,y
Amsterdam Netherlands Photo by,y
Rainbow Grapes What a beauty of Nature,y
Milky Way over Crater Lake Oregon,y
Riding the Wave,y
Redwoods are ginormous,y
Eguisheim is one of the cutest villages in France Photo by Olivier Wong,y
Beaches in Italy,y
Night life in Varenna Italy,y
Orcas in the San Juan Islands of Washington State,y
Another Brilliant Sunset Over the Matterhorn this past Summer,y
White sandy beaches and turquoise water in Lofoten Norway Photo by Jeff Carlson,y
Wandering in Pienza Tuscany Italy,y
Iceland doesn t disappoint with its views Photo by Bryan Daugherty bdorts on IG,y
Dawn over Paris Photo by Olivier Wong on IG,y
Summertime in Bavaria Germany,y
Grid waves on the French coastline,y
Rocky Canyon Douro River Portugal,y
Maldives paradise on Earth,y
The Bastei Bridge in the Elbe Sandstone Mountains Germany,y
Canada s got some of the best waterfalls Photo by Dylan Furst on IG,y
Arenal Volcano under the stars in Costa Rica Photo by kmijlof,y
The perfect storm Waterspout at sunset off the Gulf of Genova by Emanuele Crovetto,y
Amazing road on Kangaroo Island Isabelle Antonetti,y
Sydney Australia Photo by,y
New York New York,y
Amalfi Coast,y
Standup paddleboarding on Lake Tahoe Photo by standup paddle,y
Reine Norway Photo by Christian Bothner,y
Sunrise Over Mount Bromo Photograph By Guillaume Buret,y
White River Falls State Park Oregon,y
Picture perfect scenery at The Old Man of Storr Photo by,y
Upper Cathedral Lake Yosemite National Park USA by Marina Bass Sunset over upper Cathedral lake in Yosemite Nat…,y
Ponte Dei Sospiri or The Bridge of Sighs in Venice Italy Photo by mary quincy,y
Views of Mount Columbia Photo by Hannes Becker becker on IG,y
Golden mornings from San Francisco Photo by Aimee Hernandez,y
Stakeout at High Sierra Yosemite by Aswin Gunawan,y
Disneyworld Orlando Florida Photo by David J Camba,y
This magical picture features a road trip through the Himalayan Mountain in Tibet,y
U S Route 50 Known as America s most lonely road,y
The Connecticut River in Massachusetts,y
The sun breaks through at Seceda in the Italian Dolomites,y
Guilin National Park China,y
A rare view of an empty Golden Gate Bridge,y
White sand at Lecois Maranhenses National Park Brazil,y
Absolutely a magnificent view in Banff Alberta Photo by Callum Snape on IG,y
Oneonta Falls in the Columbia River Gorge,y
Inside the Taj Mahal,y
Moraine Lake Banff National Park Alberta Photo by Brandon Sharpe,y
Glacial colored lake in the Summer at Grinnell Lake Glacier National Park,y
Plitvice National Park Kroatien,y
Loading up at Moraine Lake Photo by Benjamin Alexander Prescott on IG,y
The Venice Canals in Southern California putting on a show at sundown Photo by Michael Steric on IG,y
Upper Cathedral Lake Yosemite National Park USA by Marina Bass Sunset over upper Cathedral lake in Yosemite Nat…,y
The General Sherman Tree Sequoia National Park Photo by Camerons Personal Page,y
Mysterious and captivating scenery at Pyramid Lake Photo by Johannes Hulsch,y
Yellowstone National Park in Wyoming USA,y
Lake Moraine Banff National Park is one of the most photographed lakes in the world,y
Lake Tahoe California,y
A beautiful sunset in Aphrodite s Rock Paphos Cyprus tomasz cc,y
Wouldn t mind waking up to this view every morning in Scandinavia Photo by Dylan Furst on IG,y
Amazing natural phenomenon awesome ManhattanHenge scene from Midtown Manhattan A Traffic stopper,y
Lake Moraine Banff National Park is one of the most photographed lakes in the world It s easy to see why it s so…,y
Mirror Lake Yosemite National Park Photo by Adam Baker,y
Go to your local park and boy the sights you ll see,y
Had a great day at the,y
hope to visit yosemite one day,y
Spent some time at the Shedd Aquarium today with my brother,y
Pretty amazing day Stop by your local museum,y
If you are in the city please visit this cool museum,y
I want to go to Yosemite this summer,y
The beauty of color amp flowers dancing in the sun Floral Home Decor Poppies,y
A sole Sandhill crane if you don t count the reflection Bird Photography by Belinda Greb,y
Rambling Oregon Landscape by Belinda Greb,y
A beautiful buck crossing shallow waters to forage on a small island,y
The value of restoration New York Grand Central Terminal,y
Grand Canyon No 1 bw Arizona Photography,y
Not only a lovely waterfall but Mount Rainier too More photography,y
Check out this on,y
Not all beaches are white and sandy Beauty comes in many forms,y
Wildness is the preservation of the World Thoreau Nature Photography by Belinda Greb,y
Rumored to be one of the prettiest lakes in Glacier park Landscape photography,y
Across the Lake Clear Lake Oregon Landscape by Belinda Greb,y
The timeless beauty of the Grand Canyon in black amp white photography,y
The longest pedestrian skybridge in the US connects the VA center to OHSU in Oregon,y
One of the beautiful waterfalls in Oregon Sahalie Falls More at,y
Oregon s Koosah Falls falls 70 feet More Oregon landscapes at,y
Arches National Park reminds one what a wondrous amp amazing planet we live on,y
Another great view from Strawberry Hill along the Oregon Coast landscape photography,y
Grand Tetons an amazing place to visit Landscape photography,y
One of the most beautiful beaches I ve seen Trunk Bay Beach on St John BelindaGreb,y
Water lilies from Huntington Gardens Flower photography,y
Sunset at Chincoteague Bay Virginia,y
The NaPali coast is not only beautiful it s magical Kauai Hawaii Photography,y
A lovely hiking spot in Oregon Landscape photography,y
Yellowstone leaves me breathless amp full to the brim amp still wanting more,y
One of the most beautiful creeks Avalanche Glacier Photography at,y
Ledge Falls,y
trees are magnificent but even more is the sublime amp moving space between them Rilke,y
A canyon carved out by time water light GrandCanyon Arizona Photography,y
Not only a refuge for wildlife public lands also provide recreational opportunites,y
Peaceable Shore Oregon Landscape Photography by Belinda Greb,y
WashingtonMemorial from Lincoln Memorial No 2,y
This Mount Rainier hike was one of my favorites More photography,y
The last scene is amazing Awesome work Field Museum Chicago Museums are such magical places,y
Momorangi Marlborough Sounds 2017 new year inspiration,y
When the tide s out at the windswept Wairau Estuary Marlborough it sure is a dry landscape,y
At the museum,y
Day 2 of Chicago Headed over to some museums,y
Trump tower straight ahead,y
I can t stop taking photos chicago looks so surreal compared to mi,y
It s nice as hell out here,y
Coosaw Creek was so good last night we re back at another location The West Ashley,y
One more for the day Fort Moultrie in Sullivans Island SC,y
Checking another fort off the list Fort Sumter National Monument in Sullivans Island SC,y
WWII aircraft carrier tour U S S Yorktown in Mt Pleasant SC,y
I m at Patriots Point Naval amp Maritime Museum in Mt Pleasant SC,y
Hidden little find Upper Deck Tavern in Charleston SC,y
Kayaking with Faith and Johan today Congaree National Park in Hopkins SC,y
Back again at in Bowling Green KY,y
What an interesting town Alton IL in Alton IL,y
Museums and fun Rock Island Arsenal in Rock Island IL,y
Doing some quick explorations before heading on our way Mississippi River At The Quad Cities,y
Stunning Lily Lake in Amana IA,y
Exploring the world of the Amanas today Amana Colonies in Amana IA,y
Checking out a 375 million year old seafloor and its fossils Devonian Fossil Gorge in Iowa City IA,y
Wrapping up the day with some Native American cultural appreciation Effigy Mound National Monument,y
Lake Superior cruise to see lots of beautiful Michigan Pictured Rocks Cruises in Munising MI,y
Finding fossilized coral and cool rocks all along the shore in Magnus Park Petoskey MI in Petoskey MI,y
First stop in Michigan Sleeping Bear Dunes National Park in Empire MI,y
Another cave for the day Mammoth Cave National Park in Mammoth Cave KY,y
Explorations Chickasaw National Recreation Area in Sulphur OK,y
Such a powerful beautiful memorial and museum for the lives lost in the Oklahoma City bombing,y
What an absolutely outstanding memorial incredible Oklahoma City National Memorial amp Museum,y
I thought this place could only exist in my dreams Waffle Champion in Oklahoma City OK,y
Learning about outlaws Indian Territory and the Civil War Fort Smith National Historic Site,y
Loving the architecture and monuments all over this area Arkansas State Capitol,y
What a wonderful piece of history to visit today Little Rock Central High School National Historic Site,y
One of the prettiest roads in America Blue Ridge Parkway in Asheville NC,y
Beautiful farm views and lovely rocky waterfalls to climb on the way Pisgah National Forest,y
Beautiful scenic drives on the Blue Ridge Parkway Mount Mitchell State Park in Burnsville NC,y
Artisan ice creams breads and other deliciousness Qout market pearl almarzook,y
Motorcycle show North Atlanta Trade Center in Norcross GA,y
Can t get enough of this place at Country French Café in Atlanta GA,y
Lovely hiking in Iowa Mines of Spain in Dubuque IA,y
I m at Coral Ridge Mall in Coralville IA,y
I m at Jasper National Park in Jasper AB,y
Incredible views from our gondola at Lake Louise,y
I m at Kennesaw Mountain National Battlefield Park Kennesaw GA w 3 others,y
I m at Kennesaw Mountain National Battlefield Park Kennesaw GA w 7 others,y
Conquering the wilderness at Check out my walking stick and sweet water…,y
I m at Downtown Las Vegas Las Vegas NV w 2 others,y
I m at Bryce Canyon National Park Bryce Canyon UT,y
Went exploring through the deep and narrow maze of Doesn t even look real does it …,y
A view from above,y
I m at Lower Antelope Canyon Page AZ,y
First day in,y
I m at Grand Canyon National Park South Rim Grand Canyon Village AZ,y
I m at Carlsbad Caverns National Park Carlsbad NM,y
Spent the day exploring 1000 year old cliff dwellings in,y
I m in four states at once,y
keeps getting prettier and prettier,y
I m at Dead Horse State Park Moab UT pic,y
Hanging out at Delicate Arch,y
I m at Arches National Park Moab UT,y
Spending the day at my favorite place in Chicago Museum of Science and Industry in Chicago IL,y
Awesome photo of some of Chicago s best attractions museums lakefront and park,y
Picturesque,y
Excited Vacation time See yawl soon — traveling to Hawaai from United Airlines Terminal 7,y
Morning in Seattle is beautiful I m about to go for a nice walk and pray,y
In route to Seattle then Canada,y
Seattle is pretty,y
at Endeavour Space Shuttle Exhibit California Science Center,y
at Vincent Thomas Bridge,y
needing a trip to big sur and san francisco and yosemite and lake tahoe and joshua tree and the redwoods asap,y
Need to hit Yosemite again in the summer I can t wait man lol,y
Hit the Museum of Contemporary Art this past weekend Art Institute of Chicago will be next D,y
Waimea Canyon Kauai HI vs Grand Canyon AZ,y
We had so much fun visiting with the zoo animals today Thank you so much,y
Arizona Snow bowl Sedona and the Grand Canyon in one weekend with amazing people can it get any better,y
swimming in the ocean at night is my new favorite thing,y
I fell in love with Texas,y
just finished packing and I leave at 5 15 tomorrow,y
today my family stranded me on a paddle board amp my mom got her fishing hook stuck in my hair amp Connor pushed me into the freezing lake,y
5 hour drive hmu,y
I long to visit The Art Institute of Chicago I want to go so bad I love museums,y
I really want to go to an art museum,y
One of my favorite museums check it out if you re ever in Chicago,y
Phoenix is so much fun,y
We enjoyed sharing our zoo maps with cardinal directions,n
Mathematicians busy using different tools to show ways to make hexagons,n
We are working on creating our zoo maps What a great group of map makers,n
We enjoyed exploring Pattern Shapes and Geoboard These can be digital tools that help us when working with shapes,n
Happy 100th day of school We had a super day,n
Mathematicians hard at work determining how to sort shapes,n
We had fun sharing our learning in science,n
Thank you to Ronald McDonald for teaching us about leadership today,n
Scientists are working on retelling the important steps that turn a liquid mixture into a solid cream,n
Scientists hard at work turning a liquid mixture into tasty vanilla ice cream It s so much fun to see liquids free…,n
Scientists hard at work locating liquids and solids in the classroom,n
We are working on crafting catchy chapter titles for our teaching books,n
Isabella said that we could use Google Slides as another tool to use for writing,n
We can add text pictures and more slides to our teaching books We are learning so much,n
We are learning how to add pictures from Pixie into Google Slides to publish our teaching books Thank…,n
We brought our popsicle soup back inside this afternoon It was frozen with snow on top It melted back into a liqu…,n
We can go around the room and count all We can use the hundreds chart We can count by 2 s and 4 s We can make a…,n
Problem solving in teams as we figure out how many legs are in our classroom,n
We decided to put a bowl of popsicle soup outside We are excited to see what happens tomorrow morning when we brin…,n
