coordinates,created_at,created_d,created_h,created_m,created_min,created_y,favorite_count,id,lang,retweet_count,source,text
,,31.0,2.0,1.0,0.0,2018.0,61486.0,958520216429957121,en,14512.0,Twitter for iPhone,"Join me live for the #SOTU
https://t.co/0SLktWxfHi"
,,29.0,20.0,1.0,12.0,2018.0,71272.0,958070403901124609,en,14089.0,Twitter for iPhone,"Congratulations to America’s new Secretary of @HHSGov, Alex Azar! https://t.co/Y9inQaCt7o"
,,28.0,13.0,1.0,18.0,2018.0,184808.0,957603804383465472,en,39864.0,Twitter for iPhone,Our economy is better than it has been in many decades. Businesses are coming back to America like never before. Ch… https://t.co/ZrThpTutNr
,,28.0,13.0,1.0,18.0,2018.0,228135.0,957603800579297280,en,62346.0,Twitter for iPhone,"Somebody please inform Jay-Z that because of my policies, Black Unemployment has just been reported to be at the LOWEST RATE EVER RECORDED!"
,,28.0,4.0,1.0,8.0,2018.0,147047.0,957465263129219073,en,34330.0,Twitter for iPhone,Democrats are not interested in Border Safety &amp; Security or in the funding and rebuilding of our Military. They are… https://t.co/wM9cL8CBo7
,,28.0,3.0,1.0,58.0,2018.0,166805.0,957462746060206080,en,45864.0,Twitter for iPhone,"I have offered DACA a wonderful deal, including a doubling in the number of recipients &amp; a twelve year pathway to c… https://t.co/gSxSjiRcoC"
,,27.0,22.0,1.0,59.0,2018.0,108684.0,957387711693905925,en,21481.0,Twitter for iPhone,"Taliban targeted innocent Afghans, brave police in Kabul today. Our thoughts and prayers go to the victims, and fir… https://t.co/nxuDZV0VYZ"
,,27.0,19.0,1.0,30.0,2018.0,102007.0,957334999522533376,en,25185.0,Twitter for iPhone,"On Holocaust Remembrance Day we mourn and grieve the murder of 6 million innocent Jewish men, women and children, a… https://t.co/Df8jIU5KW2"
,,27.0,11.0,1.0,55.0,2018.0,120069.0,957220637705109505,en,28677.0,Twitter for iPhone,Thank you to Brandon Judd of the National Border Patrol Council for his strong statement on @foxandfriends that we… https://t.co/33QbAoLFxj
,,26.0,23.0,1.0,27.0,2018.0,69434.0,957032249509097472,en,16019.0,Twitter for iPhone,Thank you for the wonderful welcome @WEF! #Davos2018 https://t.co/IQkoQJxR5B
,,26.0,17.0,1.0,16.0,2018.0,116437.0,956938973326098432,en,26107.0,Twitter for iPhone,DACA has been made increasingly difficult by the fact that Cryin’ Chuck Schumer took such a beating over the shutdo… https://t.co/5faBeqcNP9
,,26.0,17.0,1.0,12.0,2018.0,109420.0,956937916374138880,en,22401.0,Twitter for iPhone,"Heading back from a very exciting two days in Davos, Switzerland. Speech on America’s economic revival was well rec… https://t.co/JbNNrNVH9z"
,,26.0,12.0,1.0,54.0,2018.0,49831.0,956873004776116225,en,9822.0,Twitter for iPhone,"Join me live at the 2018 World Economic Forum in Davos, Switzerland! #WEF18 https://t.co/fdHejCmv73 https://t.co/DuKJlVTWB8"
,,26.0,11.0,1.0,23.0,2018.0,53327.0,956849981528379392,en,10482.0,Twitter for iPhone,Great bilateral meeting with President @Alain_Berset of the Swiss Confederation - as we continue to strengthen our… https://t.co/3bK58PuFPd
,,26.0,10.0,1.0,46.0,2018.0,61276.0,956840839627595776,en,12212.0,Twitter for iPhone,"It was an honor to meet with Republic of Rwanda President Paul Kagame this morning in Davos, Switzerland. Many grea… https://t.co/tiD5NSYYwB"
,,26.0,10.0,1.0,11.0,2018.0,34575.0,956831942351183873,en,6347.0,Twitter for iPhone,"Will be interviewed on  @SquawkCNBC by @JoeSquawk coming up at 6:00amE from Davos, Switzerland. Enjoy! #WEF18 https://t.co/7egYlxnFBd"
,,25.0,22.0,1.0,38.0,2018.0,82286.0,956657520562573312,en,17603.0,Twitter for iPhone,"Today, Americans everywhere remember the brave men and women of @NASA who lost their lives in our Nation’s eternal… https://t.co/KMP2MhJVLS"
,,25.0,18.0,1.0,3.0,2018.0,71181.0,956588348864454656,en,15017.0,Twitter for iPhone,"Very productive bilateral meeting with Prime Minister Benjamin @Netanyahu of Israel - in Davos, Switzerland! #WEF18 https://t.co/2sZM9YI7tJ"
,,25.0,17.0,1.0,25.0,2018.0,74954.0,956578887160532992,en,15973.0,Twitter for iPhone,"Great bilateral meeting with Prime Minister Theresa May of the United Kingdom, affirming the special relationship a… https://t.co/6bIzOEo8DK"
,,25.0,0.0,1.0,27.0,2018.0,151732.0,956322473955545089,en,28503.0,Twitter for iPhone,"Will soon be heading to Davos, Switzerland, to tell the world how great America is and is doing. Our economy is now… https://t.co/OwSYSiCiKe"
,,24.0,22.0,1.0,51.0,2018.0,78066.0,956298399946563585,en,16737.0,Media Studio,It was my great honor to welcome Mayor’s from across America to the WH. My Administration will always support local… https://t.co/N7Z9Dw3uIi
